OBJECTID,plz,einwohner,SHAPE_Length,SHAPE_Area
4864,72459,6923,53049.17284,98177069.05
4865,72458,18191,42281.65182,82416570.27
4866,72461,19301,60843.1959,122299332.3
4867,55497,1066,38067.3872,29966584.52
4868,72768,14100,32137.83437,32698777.89
4869,55483,3874,165668.0152,148067329.2
4870,72760,19455,19112.87581,12888102.16
4871,72770,20856,68314.54449,84014666.93
4872,55767,8586,188598.8439,338592157.3
4873,72764,14588,27237.85831,6260388.887
4874,72762,23067,36294.98883,20709366.82
4875,72766,17479,52953.05995,43242942.8
4876,67468,2643,75332.16597,59485744.05
4877,66851,9534,108910.1143,144885754.9
4878,72072,24633,63285.41553,78689314.42
4879,72076,17919,31732.01484,31240985.98
4880,72070,22230,57628.42696,55449414.11
4881,72074,17761,53668.07629,80658327.96
4882,71634,18035,25431.9951,16220829.51
4883,71636,14870,18998.31012,14143674.17
4884,71642,17680,47033.07635,47205014.88
4885,71638,19498,22098.28538,11553543
4886,21385,5676,110742.6417,353820259.6
4887,29574,5445,53544.82494,73533095.03
4888,55299,5512,21782.20212,20755983.38
4889,29582,945,66675.97735,155750977
4890,25849,1232,57467.62363,112524961
4891,46397,24182,51260.25975,66071313.07
4892,46395,28624,55175.58734,106521391.9
4893,46399,18398,69780.39942,139922065.1
4894,29643,5665,90918.17305,268720044.8
4895,59073,17952,48219.92861,64259751.03
4896,59067,22118,27162.36668,33234042.83
4897,59077,26862,59556.56956,106227732.8
4898,59069,15928,63185.80969,145545689.3
4899,59071,27483,61271.32348,116017130.3
4900,59063,15627,23552.37246,18839928.88
4901,59065,22901,27640.33026,21490548.04
4902,59075,27310,48891.50233,82224127.89
4903,48147,24422,23035.19793,16556234.56
4904,59229,27262,67614.9596,111894627
4905,59227,25076,92842.65742,209022211.2
4906,44536,24992,41787.54075,46851102.94
4907,44534,29426,38446.3715,54771135.43
4908,44532,31631,45009.99516,51798274.65
4909,46282,23616,55162.55111,91103970.93
4910,46284,26563,51771.62737,81266293.98
4911,48149,20276,34106.87368,20055172.95
4912,48151,22894,20927.70467,10415113.79
4913,24782,11105,32557.93529,32806535.46
4914,48145,20450,19685.74247,8273333.517
4915,48155,20759,77682.66415,49707133.85
4916,48157,21235,95216.34289,163157743.5
4917,48167,25352,59992.45116,70714803.25
4918,48159,22606,60667.98585,61028532.54
4919,48153,20051,22377.5304,12501941.09
4920,48165,26776,44331.60062,66101355.68
4921,48161,32198,81536.11967,149877783.6
4922,55469,12113,103137.3647,180690427.4
4923,55471,4354,111843.9324,141323473.3
4924,55592,2221,60342.34843,78687267.52
4925,55776,3124,74120.87074,84849328.56
4926,55444,4647,82052.06847,112649243.1
4927,55568,2214,57018.57449,52570063.19
4928,55543,26289,38936.43841,45753817.9
4929,24809,1574,28036.98742,41794084.68
4930,55571,1735,29978.723,31881202.78
4931,55624,3056,70588.75426,85199682.04
4932,55490,2853,71929.94199,107158675.5
4933,55499,738,37198.93887,42119216.58
4934,55621,393,18428.1348,17740273.42
4935,55487,4931,57719.00114,72752159.03
